"month","day","hour","Day.of.Week","weekday","Peakhour","temperature","prediction_kWh"
"5","27","10","5","1","1",71,223.247602925793
"5","27","11","5","1","1",73,223.205525672952
"5","27","12","5","1","1",74,219.000352796535
"5","27","13","5","1","1",76,215.22789285585
"5","27","14","5","1","1",77,201.49436678541
"5","27","15","5","1","1",77,192.117051953161
"5","27","16","5","1","1",77,184.585457833257
"5","27","17","5","1","1",77,176.651494037247
"5","27","18","5","1","1",77,148.563891844126
"5","27","19","5","1","0",75,145.564500018845
"5","27","20","5","1","0",73,108.028413827951
"5","27","21","5","1","0",71,98.7303109476989
"5","27","22","5","1","0",69,86.8089452638776
"5","27","23","5","1","0",68,71.2961689742079
"5","28","0","6","0","0",67,33.9467202149238
"5","28","1","6","0","0",67,33.8689379692692
"5","28","2","6","0","0",66,33.6752217360973
"5","28","3","6","0","0",65,34.0328539450743
"5","28","4","6","0","0",63,36.0516723385957
"5","28","5","6","0","0",63,39.3975990501038
"5","28","6","6","0","1",64,142.151520216268
"5","28","7","6","0","1",67,165.435234360125
"5","28","8","6","0","1",71,180.547552373926
"5","28","9","6","0","1",75,185.598156229795
"5","28","10","6","0","1",77,187.465231896653
"5","28","11","6","0","1",80,187.410337182142
"5","28","12","6","0","1",81,183.205164305725
"5","28","13","6","0","1",82,179.44552182671
"5","28","14","6","0","1",81,165.737630679609
"5","28","15","6","0","1",82,156.347498385691
"5","28","16","6","0","1",81,148.828721727457
"5","28","17","6","0","1",79,140.920392854786
"5","28","18","6","0","1",77,112.858425585004
"5","28","19","6","0","0",73,109.884668683063
"5","28","20","6","0","0",70,72.3613999538384
"5","28","21","6","0","0",75,62.9735748418985
"5","28","22","6","0","0",74,51.0393916964074
"5","28","23","6","0","0",73,35.5266154067377
"5","29","0","0","0","0",71,-21.2778077095726
"5","29","1","0","0","0",71,-21.3555899552273
"5","29","2","0","0","0",70,-21.5493061883992
"5","29","3","0","0","0",69,-21.1916739794222
"5","29","4","0","0","0",67,-19.1728555859008
"5","29","5","0","0","0",66,-15.8141114127229
"5","29","6","0","0","1",65,86.9654446767804
"5","29","7","0","0","1",66,110.274793743978
"5","29","8","0","0","1",67,125.425564142787
"5","29","9","0","0","1",67,130.527437845336
"5","29","10","0","0","1",67,132.420148435533
"5","29","11","0","0","1",66,132.416523567701
"5","29","12","0","0","1",66,128.224168152954
"5","29","13","0","0","1",66,124.477343135608
"5","29","14","0","0","1",65,110.769451988507
"5","29","15","0","0","1",66,101.379319694589
"5","29","16","0","0","1",65,93.8605430363553
"5","29","17","0","0","1",64,85.9393967020143
"5","29","18","0","0","1",64,57.8517945088935
"5","29","19","0","0","0",63,54.8395852219426
"5","29","20","0","0","0",62,17.2906815693788
"5","29","21","0","0","0",61,7.97976122745732
"5","29","22","0","0","0",60,-3.95442191803373
"5","29","23","0","0","0",60,-19.4800156693732
"5","30","0","1","1","0",60,74.9029445609463
"5","30","1","1","1","0",59,74.8379797769614
"5","30","2","1","1","0",59,74.6314460821198
"5","30","3","1","1","0",59,74.976260829427
"5","30","4","1","1","0",59,76.9694442996089
"5","30","5","1","1","0",59,80.3153710111171
"5","30","6","1","1","1",59,183.082109638951
"5","30","7","1","1","1",61,206.378641244478
"5","30","8","1","1","1",64,221.503776719948
"5","30","9","1","1","1",66,226.580015499157
"5","30","10","1","1","1",66,228.472726089354
"5","30","11","1","1","1",67,228.443466298183
"5","30","12","1","1","1",68,224.238293421766
"5","30","13","1","1","1",69,220.478650942751
"5","30","14","1","1","1",71,206.732307410641
"5","30","15","1","1","1",72,197.342175116723
"5","30","16","1","1","1",72,189.810580996819
"5","30","17","1","1","1",72,181.876617200808
"5","30","18","1","1","1",72,153.789015007687
"5","30","19","1","1","0",70,150.789623182406
"5","30","20","1","1","0",70,113.227902068173
"5","30","21","1","1","0",68,103.929799187921
"5","30","22","1","1","0",67,91.9956160424299
"5","30","23","1","1","0",66,76.4828397527602
"5","31","0","2","1","0",66,69.9985701863059
"5","31","1","2","1","0",65,69.9336054023209
"5","31","2","2","1","0",65,69.7270717074793
"5","31","3","2","1","0",64,70.0847039164563
"5","31","4","2","1","0",64,72.0778873866382
"5","31","5","2","1","0",64,75.4238140981464
"5","31","6","2","1","1",64,178.19055272598
"5","31","7","2","1","1",66,201.487084331507
"5","31","8","2","1","1",69,216.612219806977
"5","31","9","2","1","1",71,221.688458586187
"5","31","10","2","1","1",71,223.581169176384
"5","31","11","2","1","1",72,223.551909385212
"5","31","12","2","1","1",74,219.333919047126
"5","31","13","2","1","1",75,215.57427656811
"5","31","14","2","1","1",76,201.84075049767
"5","31","15","2","1","1",76,192.463435665422
"5","31","16","2","1","1",78,184.906206622178
"5","31","17","2","1","1",78,176.972242826168
"5","31","18","2","1","1",76,148.910275556386
"5","31","19","2","1","0",74,145.910883731105
"5","31","20","2","1","0",72,108.374797540211
"5","31","21","2","1","0",70,99.0766946599594
"5","31","22","2","1","0",70,87.1296940527986
"5","31","23","2","1","0",69,71.616917763129
